keyword,cluster,parent_topic,intent,volume,kd,cpc,growth_y,serp_features,traffic_potential,business_potential,serp_intent_fit,ranking_potential,content_effort,target_page_type,target_url,priority,source,notes,captured_at,country,language
bulletproof glass,glass-core,vehicle glass,transactional,5400,8,6.5,-33,"ai_overview,organic,people_also_ask,popular_products,video",high,high,high,high,medium,money-page,/products/bulletproof-vehicle-glass,1,dataforseo-ideas,head term CPC $6.5 transactional; AI Overview present,2026-09-01,US,en
bullet resistant glass,glass-core,vehicle glass,transactional,5400,8,6.5,-33,"organic,people_also_ask,popular_products,video",high,high,high,high,medium,money-page,/products/bulletproof-vehicle-glass,1,dataforseo-volume,synonym of bulletproof glass,2026-09-01,US,en
armored glass,glass-core,vehicle glass,transactional,320,10,10.95,0,"organic,people_also_ask",medium,high,high,high,low,money-page,/products/bulletproof-vehicle-glass,2,dataforseo-volume,CPC $10.95 high value,2026-09-01,US,en
bulletproof glass for car,glass-core,vehicle glass,transactional,590,0,1.83,-18,"organic,people_also_ask,popular_products,video",medium,high,high,very-high,low,money-page,/products/bulletproof-vehicle-glass,1,dataforseo-ideas,KD 0 perfect landing keyword; monthly growth +23,2026-09-01,US,en
bulletproof glass windows,glass-core,vehicle glass,transactional,880,14,6.13,-18,"ai_overview,organic,people_also_ask,popular_products",medium,high,medium,high,medium,money-page,/products/bulletproof-vehicle-glass,2,dataforseo-ideas,,2026-09-01,US,en
bulletproof glass price,glass-core,glass cost,commercial,590,0,2.85,-19,"ai_overview,popular_products,people_also_ask,organic",medium,high,high,very-high,low,cost-article,/cost/bulletproof-glass-cost,1,dataforseo-ideas,price intent separate article per UD model,2026-09-01,US,en
bulletproof glass cost,glass-core,glass cost,commercial,590,0,3.47,-46,"organic,people_also_ask,popular_products,related_searches",medium,high,high,very-high,low,cost-article,/cost/bulletproof-glass-cost,2,dataforseo-ideas,synonym of price,2026-09-01,US,en
bulletproof glass for sale,glass-core,glass cost,transactional,390,2,3.47,-46,"organic,people_also_ask,popular_products",medium,high,high,high,low,money-page,/products/bulletproof-vehicle-glass,3,dataforseo-ideas,,2026-09-01,US,en
bulletproof glass for homes,glass-adjacent,glass applications,transactional,210,0,5.25,-56,"ai_overview,organic,people_also_ask,popular_products,video",low,medium,medium,very-high,low,application-page,/applications/armored-glass-for-homes,3,dataforseo-ideas,non-vehicle adjacent expansion,2026-09-01,US,en
level 10 bullet proof glass,glass-spec,glass specifications,transactional,170,0,3.47,-67,"ai_overview,organic,people_also_ask,video",low,high,high,very-high,low,spec-page,/specifications/ballistic-glass-levels,1,dataforseo-ideas,level keyword = spec buyer intent,2026-09-01,US,en
